Gene	LINC1KD-1-D2-NTC_ATCACG_L008	LINC1KD-2-D2-658_CGATGT_L008	LINC1KD-3-D3-NTC_TTAGGC_L008	LINC1KD-4-1D3-658_TGACCA_L008	LINC1KD-5-2D3-NTC_GCCAAT_L008	LINC1KD-6-2D3-658_TAGCTT_L008
ENSMUSG00000000631.20	3158	3512	2230	2969	1983	1782
ENSMUSG00000000632.13	33	27	11	25	30	36
ENSMUSG00000000673.8	0	0	0	0	0	0
ENSMUSG00000000682.7	0	0	0	0	0	0
ENSMUSG00000000686.11	12	14	13	15	16	18
ENSMUSG00000000690.5	0	10	0	0	0	0
ENSMUSG00000000693.10	12	0	9	3	3	0
ENSMUSG00000000701.7	0	0	0	0	0	0
ENSMUSG00000000706.15	0	0	0	0	2	0
ENSMUSG00000000708.14	883	1008	704	965	768	1001
ENSMUSG00000000711.2	1188	1279	889	1071	991	1106
ENSMUSG00000000724.10	0	0	0	0	2	0
ENSMUSG00000000730.13	2757	3646	3070	5584	2332	3658
ENSMUSG00000000731.15	127	82	38	81	33	32
ENSMUSG00000000732.9	241	269	140	305	140	309
ENSMUSG00000000738.18	1737	1688	1354	1853	1761	1705
ENSMUSG00000000739.14	102	60	76	93	61	59
ENSMUSG00000000740.12	31578	36667	23539	40410	37677	39880
ENSMUSG00000000743.9	1910	2106	1377	1852	1911	2062
ENSMUSG00000000751.13	12234	12603	7803	13183	8876	13238
ENSMUSG00000000753.15	25	43	8	19	25	18
ENSMUSG00000000759.14	786	811	625	843	887	770
ENSMUSG00000000766.18	0	0	0	0	0	0
ENSMUSG00000000776.12	783	709	680	1054	893	849
ENSMUSG00000000782.15	1026	791	669	715	934	752
ENSMUSG00000000787.12	9232	8434	8513	8230	7421	6716
ENSMUSG00000000791.9	13	18	8	20	7	4
ENSMUSG00000000792.2	80	80	55	59	80	80
ENSMUSG00000000794.9	0	0	7	2	4	3
ENSMUSG00000000804.14	561	465	403	435	418	474
ENSMUSG00000000805.18	40	66	70	189	62	140
ENSMUSG00000000811.13	256	305	237	334	232	265
ENSMUSG00000000817.10	0	0	0	0	1	0
ENSMUSG00000000823.16	2575	2388	1474	1734	1660	1878
ENSMUSG00000000826.16	2329	2251	1451	1957	1718	1989
ENSMUSG00000000827.18	1828	1708	1354	1731	1771	1933
ENSMUSG00000000838.17	1340	1010	1101	1219	1090	1198
ENSMUSG00000000861.15	42	28	21	66	32	86
ENSMUSG00000000869.12	0	0	0	0	0	0
ENSMUSG00000000876.11	54	122	78	36	125	109
ENSMUSG00000000881.12	298	364	230	342	259	325
ENSMUSG00000000884.16	367	330	190	340	350	330
ENSMUSG00000000889.8	0	0	0	0	0	0
ENSMUSG00000000901.16	993	1105	575	1023	947	1119
ENSMUSG00000000902.13	3962	4028	2464	4071	2738	3785
ENSMUSG00000000903.3	16	0	5	4	14	0
ENSMUSG00000000915.15	394	441	329	272	286	376
ENSMUSG00000000916.15	876	695	629	985	699	990
ENSMUSG00000000934.8	327	421	280	475	347	337
ENSMUSG00000000938.11	17	15	14	11	18	24
ENSMUSG00000000942.10	5	12	2	4	5	21
ENSMUSG00000000948.16	39	22	27	18	8	32
ENSMUSG00000000957.9	981	765	848	1022	961	880
ENSMUSG00000000958.9	1999	2936	2704	3891	2257	3044
ENSMUSG00000000959.6	2663	2638	1705	3070	2637	2792
ENSMUSG00000000976.13	984	1144	874	1008	749	1012
ENSMUSG00000000982.5	0	0	0	7	3	7
ENSMUSG00000000983.13	0	0	0	0	0	0
ENSMUSG00000001014.6	21	0	15	20	8	16
ENSMUSG00000001016.12	2491	3164	2707	3308	2820	3794
ENSMUSG00000001017.15	5037	5398	3296	5076	4001	5608
ENSMUSG00000001018.15	548	633	377	521	447	461
ENSMUSG00000001020.8	0	0	0	0	0	0
ENSMUSG00000001021.12	0	0	0	0	2	0
ENSMUSG00000001023.10	0	0	0	0	0	0
ENSMUSG00000001025.8	70	260	138	281	92	167
ENSMUSG00000001027.7	0	16	1	8	3	8
ENSMUSG00000001029.15	4	15	0	6	7	11
ENSMUSG00000001034.17	1444	1380	1086	1513	1364	1373
ENSMUSG00000001036.17	1401	1444	1086	1423	1067	1301
ENSMUSG00000001039.12	374	545	308	572	452	570
ENSMUSG00000001052.15	2117	1714	1243	1668	1454	1546
ENSMUSG00000001053.15	1628	1861	1409	1811	1661	1637
ENSMUSG00000001054.9	1302	1668	1124	1500	1305	1262
ENSMUSG00000001056.3	4063	5511	4283	6429	5323	5709
ENSMUSG00000001062.18	292	245	182	231	281	311
ENSMUSG00000001065.15	293	297	167	204	247	191
ENSMUSG00000001076.6	0	0	2	3	2	12
ENSMUSG00000001082.12	1397	1225	1030	1538	1492	1094
ENSMUSG00000001089.14	2372	2100	1937	1896	1804	1200
ENSMUSG00000001095.5	16	0	5	0	3	0
ENSMUSG00000001098.15	1135	1438	1068	1605	1317	1602
ENSMUSG00000001100.10	3419	3826	3004	4378	3298	3764
ENSMUSG00000001103.7	0	0	0	0	1	0
ENSMUSG00000001105.15	533	495	338	504	502	575
ENSMUSG00000001119.7	0	0	3	0	4	0
ENSMUSG00000001120.15	242	269	164	221	200	291
ENSMUSG00000001123.15	67	86	43	71	55	59
ENSMUSG00000001127.12	822	994	856	987	856	1063
ENSMUSG00000001128.7	60	54	39	48	41	28
ENSMUSG00000001131.11	853	1017	729	1629	714	1181
ENSMUSG00000001134.9	175	243	201	301	249	275
ENSMUSG00000001138.13	753	706	516	688	631	705
ENSMUSG00000001143.13	485	437	281	402	366	454
ENSMUSG00000001150.7	5173	4871	3436	4245	3840	3888
ENSMUSG00000001151.10	5477	5471	3704	3675	3396	2394
ENSMUSG00000001155.13	0	0	0	1	1	5
ENSMUSG00000001156.9	73	97	117	99	167	105
ENSMUSG00000001157.13	337	389	270	288	282	301
ENSMUSG00000001158.13	226	355	269	547	390	555
ENSMUSG00000001166.17	0	16	2	9	13	19
ENSMUSG00000001168.16	0	0	0	0	0	0
ENSMUSG00000001173.15	346	414	333	375	291	364
ENSMUSG00000001175.13	4264	5126	3514	5397	4067	5599
ENSMUSG00000001211.15	976	1099	714	905	700	767
ENSMUSG00000001225.12	0	0	0	0	0	0
ENSMUSG00000001227.11	42	21	49	62	49	28
ENSMUSG00000001228.14	8044	6537	6777	7428	6683	5910
ENSMUSG00000001229.7	1471	1870	758	1228	1165	1322
ENSMUSG00000001240.13	21	84	56	108	80	54
ENSMUSG00000001247.16	912	1445	814	1643	951	1686
ENSMUSG00000001248.14	743	878	480	859	486	627
ENSMUSG00000001249.14	33	62	22	54	31	29
ENSMUSG00000001260.10	0	0	0	0	0	0
ENSMUSG00000001270.8	2336	2580	2433	3013	2943	2807
ENSMUSG00000001280.12	3008	2307	2800	2731	2158	2082
ENSMUSG00000001281.9	384	489	379	544	366	416
ENSMUSG00000001285.12	958	1318	896	1405	1095	1329
ENSMUSG00000001288.14	6415	6075	4937	6411	6368	4963
ENSMUSG00000001289.12	763	962	788	1058	1217	936
ENSMUSG00000001300.16	171	319	186	300	294	379
ENSMUSG00000001305.5	1249	1786	992	1674	1455	1627
ENSMUSG00000001313.12	286	335	239	366	354	414
ENSMUSG00000001323.17	19	64	36	50	52	81
ENSMUSG00000001333.9	17	23	27	17	29	42
ENSMUSG00000001334.9	43	16	14	14	25	9
ENSMUSG00000001348.15	167	190	132	188	148	221
ENSMUSG00000001349.5	0	9	19	6	11	0
ENSMUSG00000001366.14	303	480	384	452	479	489
ENSMUSG00000001376.17	895	771	717	970	806	823
ENSMUSG00000001380.6	2463	2961	2217	3211	2697	3100
ENSMUSG00000001383.8	921	1056	1014	1396	1016	1110
ENSMUSG00000001403.13	6156	6951	5309	7657	7040	8078
ENSMUSG00000001415.10	4710	6057	3139	4838	4496	5415
ENSMUSG00000001416.13	5937	7084	6318	7668	6715	8431
ENSMUSG00000001418.13	895	953	782	952	1103	886
ENSMUSG00000001419.17	1335	1694	1201	1836	1235	1323
ENSMUSG00000001420.13	299	376	217	436	299	384
ENSMUSG00000001424.14	8380	8565	5397	7999	5994	7532
ENSMUSG00000001435.15	6927	6741	6585	9315	5956	6088
ENSMUSG00000001436.15	304	379	258	371	322	350
ENSMUSG00000001440.5	22746	23507	17814	25603	22104	21860
ENSMUSG00000001441.13	4304	3298	3516	5060	3388	4405
ENSMUSG00000001444.2	38	21	9	14	19	10
ENSMUSG00000001445.10	2998	2799	2412	3671	3150	3180
ENSMUSG00000001467.5	727	703	1235	1029	857	959
ENSMUSG00000001472.17	4481	5463	3452	6093	4363	5225
ENSMUSG00000001473.6	2846	3232	1504	2818	2240	3064
ENSMUSG00000001482.15	2372	2649	1922	2593	2156	2140
ENSMUSG00000001493.9	33	15	45	19	41	17
ENSMUSG00000001494.6	9	0	0	7	0	5
ENSMUSG00000001496.15	0	4	0	4	0	0
ENSMUSG00000001497.18	0	1	0	0	7	3
ENSMUSG00000001504.10	75	67	73	56	117	81
ENSMUSG00000001506.10	14	19	45	18	42	33
ENSMUSG00000001507.16	4402	4341	3237	4949	2683	2747
ENSMUSG00000001508.15	0	0	1	5	2	0
ENSMUSG00000001510.8	2	3	15	3	16	16
ENSMUSG00000001517.14	2964	3151	2110	3070	2752	2685
ENSMUSG00000001518.12	714	644	279	636	671	737
ENSMUSG00000001520.12	0	0	0	0	1	0
ENSMUSG00000001521.12	1227	1136	887	1188	1055	1244
ENSMUSG00000001524.14	556	554	593	805	729	778
ENSMUSG00000001525.10	33072	33759	27125	40625	33628	34983
ENSMUSG00000001542.6	1279	1316	973	1859	1051	1569
ENSMUSG00000001552.14	6468	6553	5868	7677	6360	4948
ENSMUSG00000001555.10	602	563	658	779	786	682
ENSMUSG00000001558.5	0	14	2	6	5	16
ENSMUSG00000001566.9	0	0	2	5	6	0
ENSMUSG00000001569.10	1008	1189	1084	1190	1147	1245
ENSMUSG00000001576.14	2227	1450	1650	1672	1568	1241
ENSMUSG00000001583.13	116	25	84	93	76	48
ENSMUSG00000001588.12	202	184	173	276	145	159
ENSMUSG00000001604.14	958	1150	922	1880	1057	1350
ENSMUSG00000001622.15	0	0	0	1	0	0
ENSMUSG00000001627.11	2774	3607	1739	3039	2408	4040
ENSMUSG00000001630.13	654	563	635	781	554	632
ENSMUSG00000001632.16	1647	1834	1205	1615	1428	1415
ENSMUSG00000001642.18	8635	9924	8573	14025	9487	12812
ENSMUSG00000001655.6	28	36	36	39	65	89
ENSMUSG00000001656.3	0	1	0	0	5	2
ENSMUSG00000001657.7	0	0	0	0	0	0
ENSMUSG00000001661.5	0	3	0	1	0	0
ENSMUSG00000001663.10	11	11	15	5	15	15
ENSMUSG00000001665.11	12	10	16	27	26	35
ENSMUSG00000001666.8	821	1131	672	1238	1048	966
ENSMUSG00000001670.13	0	0	0	3	2	0
ENSMUSG00000001672.14	16	29	4	11	16	47
ENSMUSG00000001674.11	2428	2753	2134	2994	2359	3005
ENSMUSG00000001687.15	2181	2070	1918	2282	2201	2396
ENSMUSG00000001700.9	112	71	30	85	74	104
ENSMUSG00000001707.7	1101	1204	881	1101	1054	1306
ENSMUSG00000001729.14	1528	1650	978	1376	1306	1518
ENSMUSG00000001739.14	6	0	12	22	17	7
ENSMUSG00000001741.12	0	5	2	9	0	0
ENSMUSG00000001750.15	322	307	196	199	263	206
ENSMUSG00000001751.9	28	50	17	58	22	44
ENSMUSG00000001755.12	330	429	317	401	379	351
ENSMUSG00000001761.7	1007	1031	785	921	1020	1166
ENSMUSG00000001763.14	131	65	64	47	71	83
ENSMUSG00000001767.5	825	849	694	933	818	851
ENSMUSG00000001768.15	122	200	119	103	163	122
ENSMUSG00000001773.14	2	0	0	0	1	0
ENSMUSG00000001774.8	369	428	428	430	407	607
ENSMUSG00000001783.3	2203	2631	1865	2716	2289	2583
ENSMUSG00000001785.13	1635	1714	1436	2036	1555	1926
ENSMUSG00000001786.14	237	298	188	228	219	286
ENSMUSG00000001794.13	7575	8088	5943	10192	7306	8993
ENSMUSG00000001802.16	58	121	26	50	81	130
ENSMUSG00000001804.9	0	0	0	0	0	0
ENSMUSG00000001815.15	0	0	0	0	0	0
ENSMUSG00000001819.4	3	13	25	25	23	14
ENSMUSG00000001823.5	0	0	0	0	1	0
ENSMUSG00000001827.12	1148	1380	1194	1917	1125	1307
ENSMUSG00000001829.17	2359	2492	1740	2142	2181	2092
ENSMUSG00000001833.17	1620	1946	1249	2107	1230	2121
ENSMUSG00000001844.10	634	911	580	905	763	861
ENSMUSG00000001847.14	3492	4183	2837	4506	3083	3864
ENSMUSG00000001855.15	5203	4816	4002	4520	3543	3358
ENSMUSG00000001864.13	213	325	183	269	203	277
ENSMUSG00000001865.2	0	0	0	0	0	0
ENSMUSG00000001870.15	110	99	89	66	112	99
